ICO_name,Sinonym1,Sinonym2,Sinonym3,Sinonym4,Sinonym5,Sinonym6
Arbitao,arbitao.com,,,,,
Arbitracoin,arbitracoin.com,,,,,
ARBITRAGE,arbitraging.co,arbitraging,,,,
Arbitrage Crypto Trader,arbitragect.com,arbitragect,,,ArbitrageCT,
ARC Reserve Currency,arccy.org,,,,,
Arcade City,arcade.city,,,,,
Arcadia,arcadia-ico.com,,,,,
ARCALLIA,arcallia.com,,,,,
Arcana Wallet,getarcana.com,,,,,
ArcBlock,arcblock.io,arcblock,,,Arcblock,
Archetypal Network,https://archetypal.network/,https://coinmarketcap.com/currencies/archetypal-network/,,,Archetypal Network,
ArchiCoin,archicoin.io,,,,,
Archon Cloud,archon.cloud,,,,,
Arcona,arcona.io,,,,,
ARCUS,arcus.city,,,,,
Ardent United,ardentunited.com,,,,,
Ardor,ardorplatform.org,ardorplatform,,,,
AREF,ico.aref-platform.io,,,,,
Arena,projectarena.io,,,,,
Arena Space,arenaspace.io,,,,,
Arepacoin,arepacoinve.info,arepacoinve,,,,
Arevalor,arevalor.com,,,,,
ARFREYR,arfreyr.com,,,,,
Argentum,argentum.io,,,,,
ARGO Reality,argoreality.io,,,,,
Argus,argusnetwork.co,argusnetwork,,,,
Argyle Coin,Argyle,,,,,
Arianee,arianee.org,,,,,
Aricoin,aricoin.org,,,,,
Arion,arioncoin.com,arioncoin,,,,
Arionum,arionum.com,,,,,
AriseBank,arisebank.com,,,,,
Arizn,arizn.network,,,,,
ARK,ark.io,ark,,,Ark,
Arkadia,arkadialending.com,,,,,
Arker,arker.io,,,,,
ARLIZE,arlizecoin.com,arlizecoin,,,,
Armchain,armchain.net,,,,,
Armor Ceramics,armorceramics.co,,,,,
ArmPack,armpack.io,,,,,
ARNA,token.arnagenomics.com,,,,,
Arpa,arpachain.io,,,,,
ARQUTE G.A.S.,arqute.com,,,,,
ARRM,arrm.io,,,,,
Arround,arround.io,,,,,
ArtByte,artbyte.me,,,,,
ArtChain Global,artchain.world,,,,,
ArtCoin Fund,artcoinfund.com,,,,,
Artemine,artemine.org,,,,,
Artex,artex.global,,,,,
Artex Coin,atxcoin.org,atxcoin,,,,
Articlex,ico.articlex.io,,,,,
ARTIS,artis.eco,,,,,
Artis Turba,artisturba.com,,,,,
Artisanal Miners,artisanalminers.io,,,,,
ArtNoy,artnoy.com,,,,,
ARToken,artoken.io,cappasity,,,Cappasity,
ArtPro,art-pro.io,,,,,
ArtWook,artwook.com,,,,,
Arweave,arweave.org,,,,,
Asa Coin,asacoin.net,,,,,
Asch,asch.io,,,,,
Aseancoin,asncoin.com,asncoin,,,,
AsiaCoin,thecoin.asia,thecoin,,,,
Asiadigicoin,asiadigicoin.org,,,,,
ASKfm,askfm.io,,,,,
Asmbler,asmbler.com,,,,,
ASOBI,asobimo.io,,,,,
ASQ Protocol,asqpro.io,,,,,
Asset Allocation Token,AAT,aatnetworks,,,,
Asset Token,assettoken.io,,,,,
Asseta,ico.asseta.eu,,,,,
AssetBase,assetbase.io,,,,,
Assetereum,assetereum.com,,,,,
Assetron Energy,tokensale.assetron.energy,,,,,
Assistive Reality,aronline.io,,,,,
ASSPACE,asspacetoken.com,,,,,
Aston,aston.company,aston,,,Aston,
AstorGame,astorgame.com,,,,,
Astoria,astoria.ltd,,,,,
ASTRA,goastra.network,,,,,
Astral9,astral9.io,,,,,
ASTRcoin,asteroidltd.io,,,,,
Astronaut,astronaut.capital,astro,,,,
Asura Coin,asuracoin.io,asura-coin,,,Asura Coin,
ATB Coin,atbcoin.com,atbcoin,,,ATBCoin,
ATC Coin,atccoin.com,atccoin,,,,
ATFS Project,atfslab.io,,,,,
Athena,athenacoin.io,,,,,
ATHERO,athero.io,,,,,
Atlant,atlant.io,atlant,,,ATLANT,
AtlantICO Network,AtlantICO,,,,,
Atlantis Blue,atlantisblue.org,atlantis-blue-digital-token,,,Atlantis Blue Digital Token,
Atlas Network,atlas.world,,,,,
Atlas Platform,atlasplatform.org,,,,,
Atlas Protocol,atlasp.io,,,,,
Atmatrix,atmatrix.org,,,,,
ATMChain,atmchain.io,,,,,
Atmos,novusphere.io,novusphere,,,,
ATN,atn.io,atn,,,ATN,
Atomic Coin,atomicproject.org,atomicproject,,,,
Atomic Network,atomicnetwork.io,,,,,
Atonomi,atonomi.io,atonomi,,,Atonomi,
Atrix,atrix.io,,,,,
Attention Network,attentionnetwork.io,,,,,
Attrace,attrace.com,,,,,
Auctus,auctus.org,auctus,,,Auctus,
AudioCoin,audiocoin.eu,,,,,
Auditchain,auditchain.com,,,,,
Augmate,augmate.io,,,,,
Augmentors,augmentorsgame.com,databits,,,Databits,
Augur,augur.net,augur,,,Augur,
August 927,august927.com,,,,,
Aurora,aurorachain.io,aurorachain,,,,
Aurora DAO,auroradao.com,Aurora IDEX,,,Aurora DAO,
Aurora Ecosystem,aurorablockchainsl.com,,,,,
Aurora IDEX,auroradao.com,aurora-dao,,,,
Auroracoin,auroracoin.is,,,,,
Aurum,aurum.services,,,,,
AurumCoin,aurumcoin.com,,,,,
Aussie Digital,aussiedigital.io,,,,,
AuthenticID,authenticid.co,,,,,
Authoreon,authoreon.io,,,,,
Authorship,authorship.com,authorship,,,Authorship,
AUTOBAY,autobay.io,,,,,
AutoBlock,theautoblock.com,,,,,
Autonio,auton.io,autonio,,,Autonio,
Autoria,autoria.io,,,,,
Autorize,autorize.io,,,,,
AutoUnit IAC,aunite.io,,,,,
Auxledger,auxledger.org,,,,,
