Main_name,Sinonym1,Sinonym2,Sinonym3,Sinonym4
Empowr,secure.empowr.com,empowr-coin,,
Encrypgen,encrypgen.com,encrypgen,,
EncryptoTel,encryptotel.com,encryptotel,,
Endor,endor.com,endor-protocol,endor protocol,
Energi Token,energitoken.com,energitoken,,
Engagement Token,Engagement,engagementtoken.com,engagement-token,
Enigma,enigma.co,enigma-project,,
Enjin Coin,enjincoin.io,enjin-coin,,
Envion,envion.org,envion,,
EOS,eos.io,eos,,
Eroscoin,eroscoin.org,eroscoin,,
Escroco,escroco.co,escoro,,
Essentia,essentia.one,essentia,,
Ethbits,ico.ethbits.com,ethbits,,
Ether Party,etherparty.com,etherparty,,
Etherecash,etherecash.io,etherecash,,
Ethereum,ethereum.org,ethereum,,
Ethereum Classic,ethereumclassic.github.io,ethereum-classic,,
Etheriya,etheriya.net,etheriya,,
Etheroll,etheroll.com,etheroll,,
EtherSportz,ethersportz.com,ethersportz,,
ETHLend,ethlend.io,ethlend,,
Ethorse,ethorse.com,ethorse,,
Ethos (Bitquence),ethos.io,ethos,,
EventChain,eventchain.io,eventchain,,
Everex,everex.io,everex,,
Exchange Union,exchangeunion.com,exchange-union,,
EximChain,eximchain.com,eximchain,,
EXMO Coin,EXMO,,,
EXMR MONERO,exmrfoundation.org,ethereum-monero,,
Expanse,expanse.tech,expanse,,
Experty,experty.io,experty,,
EZPOS (EZToken),eztoken.io,eztoken,,
Fabric Token,fabrictoken.io,fabric-token,,
Faceter,tokensale.faceter.io,faceter,,
FANTOM,fantom.foundation,,,
FAPcoin,fapcoin.io,fapcoin,,
FarmaTrust,farmatrust.io,farmatrust,,
FAYTHE.IO,FAYTHE,,,
FidentiaX,fidentiax.com,fidentiax,,
Filecoin,filecoin.io,filecoin,,
FinTab,fintab.io,fintab,,
FintruX,fintrux.com,fintrux-network,,
Fire Lotto,firelotto.io,fire-lotto,,
FirstBlood,firstblood.io,firstblood,,
Flashcoin,flashcoin.io,flash,,
FLiK,skyblockmediagroup.com,flik,,
Flixxo,flixxo.com,flixxo,,
FluzFluz,ico.fluzfluz.com,fluz-fluz,,
Flypme,flyp.me,flypme,,
FoodCoin,foodcoin.io,food,,
Formosa Financial,formosa.financial,formosa-financial,,
Fortitude Ranch,Fortitude,,,
FORTUNA,fota.top,fortuna,,
Forty Seven Bank,fortyseven.io,forty-seven-bank,,
Fox Trading,foxtrading.io,fox-trading,,
Fractal Token,Fractal,,,
FReeStart,FRee Start Coin,,,
Friendz,friendz.io,friends,,
Fujinto,fujinto.io,fujinto,,
Fund Yourself Now,fundyourselfnow.com,fundyourselfnow,,
FundFantasy,fundfantasy.com,fundtoken,,
FundRequest,fundrequest.io,fundrequest,,
FunFair,funfair.io,funfair,,
Fusion,fusion.org,fusion,,
FuzeX,fuzex.co,fuzex,,
Gagapay Network,Gagapay,,,
Galaxy eSolutions,galaxy-esolutions.com,galaxy-esolutions,,
Galion.io,Galion,,,
Game.com,game.com,game,,
GameCredits,gamecredits.com,gamecredits,,
GatCoin,gatcoin.io,gatcoin,,
Gems,gems.org,gems-protocol,,
Genaro Network,gnxtech.io,genaro-network,,
Genesis Vision,genesis.vision,genesis-vision,,
Giftcoin,giftcoin.org,gifto,,
GIFTO,gifto.io,gifto,,
Gladius,gladius.io,gladius-token,,
Global Metrology Project,GMP,,,
Gnosis,gnosis.pm,gnosis-gno,,
GoByte,gobyte.network,gobyte,,
GoChain,gochain.io,gochain,,
Gold Bits Coin,goldbitscoin.com,gold-bits-coin,,
GoldMint,goldmint.io,goldmint,,
Golem,golem.network,golem-network-tokens,,
GOLOS,golos.io,golos,,
GoNetwork,gonetwork.co,gonetwork,,
GOToken,parkingo.io,parkingo,,
GRAFT Blockchain,graft.network,graft,,
Gramaton Token,Gramaton,,,
Green Power Exchange,GPX,,,
Greenblock Coin,Greenblock,,,
Greeneum Network,Greeneum,,,
Grid+,gridplus.io,grid,,
Hacken,hacken.io,hacken,,
Hackspace,hackspace.capital,hackspace-capital,,
Hade,Hade Pay,,,
Hamster Marketplace,Hamster,,,
Hashgard,hashgard.io,hashgard,,
Havven,havven.io,havven,,
Hdac,hdactech.com,hdac,,
HeartBout,heartbout.com,heartbout,,
Hedge Token,hedge-crypto.com,hedge,,
Helbiz,helbizcoin.io,helbiz,,
HelloGold,hellogold.org,hellogold,,
Hero Node,heronode.io,heronode,,
HERO Token,herotoken.io,hero,,
HEROcoin,herocoin.io,herocoin,,
HighRewardCoin,HighReward,,,
HireMatch,hirematch.io,hirematch,,
HitChain,hitchain.io,hitchain,,
